DBA,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,GRADE
STARBUCKS,78,SPRING STREET,10012,2122192961,CafÃ©/Coffee/Tea,A
WESTVILLE,246,WEST   18 STREET,10011,2129242201,American,A
PAGANI,289,BLEECKER ST,10014,2124885800,Italian,A
DADDY-O,44,BEDFORD STREET,10014,2124148884,American,A
BRAVEST,700,2 AVENUE,10016,2126833766,American,A
MANOUSHEH,193,BLEECKER ST,10012,3479715778,Middle Eastern,A
TUNG THONG THAI RESTAURANT,561,WEST 169TH STREET,10032,2127955995,Thai,A
THE WINSLOW,243,E 14TH ST,10003,2127777717,American,A
CHINA RED GOURMENT,118,CHAMBERS STREET,10007,2122674015,Chinese,A
DYCKMAN BAR,221,DYCKMAN STREET,10034,6463603018,American,A
GIORGIO'S OF GRAMERCY,27,EAST   21 STREET,10010,2124770007,Italian,A
EROS AUTHENTIC GREEK CUISIN,447,3RD AVE,10016,2122133223,Greek,A
BABYLON,208,EAST   34 STREET,10016,2129330912,Turkish,A
COMPLETE BODY,10,HANOVER SQUARE,10005,2127777705,"Juice, Smoothies, Fruit Salads",A
BUFFALO BOSS,17,W 125TH ST,10027,7189230800,Chicken,A
SOPHIE'S CUBAN CUISINE,28,EAST   23 STREET,10010,2122608884,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
LE PARKER MERIDIEN NEW YORK,118,WEST   57 STREET,10019,2127087460,American,A
JOE & THE JUICE,1350,AVENUE OF THE AMERICAS,10019,917_566_57,"Juice, Smoothies, Fruit Salads",A
TOASTIES,6,EAST   48 STREET,10017,2122301320,American,A
MOMOFUKU,232,8TH AVE,10011,5712338555,American,A
COOPER'S CRAFT & KITCHEN,87,2 AVENUE,10003,6466062384,American,A
DON ANGIE,103,GREENWICH AVE,10014,2128898884,American,A
CHELSEA THAI,88,10 AVENUE,10011,2129242999,Thai,A
CLASSIC COFFEE SHOP,56,HESTER STREET,10002,9176853306,CafÃ©/Coffee/Tea,A
ROUTE 66 AMERICAN BBQ,79,PEARL ST,10004,2129431602,American,A
ISE,63,COOPER SQUARE,10003,2122284152,Japanese,A
NEW GOLDEN EMPIRE CHINESE RESTAURANT,757,SAINT NICHOLAS AVE,10031,2122816518,Chinese,A
TAP ROOM,180,CENTRAL PARK SOUTH,10019,2127677085,American,A
JACQUES 1534,20,PRINCE STREET,10012,2129668886,French,A
MAISON KAYSER,1294,3 AVENUE,10021,2127443100,French,A
SABOR A MEXICO TAQUERIA,160,1 AVENUE,10009,2125334002,Mexican,A
CAJUN SEA,32,W 33RD ST,10001,2125647333,Seafood,A
THE SCRATCHER CAFE,209,EAST    5 STREET,10003,2124770030,Irish,A
ALT - A LITTLE TASTE,148,W 28TH ST,10001,2124311000,American,A
MOFONGO DEL VALLE,3340,BROADWAY,10031,2122818360,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
TIMESCARE ARTS CENTER THEATRE,300,WEST   43 STREET,10036,2125867829,American,A
WICHCRAFT,62,CHELSEA PIERS,10011,2127800577,Sandwiches/Salads/Mixed Buffet,A
PISILLO ITALIAN PANINI,97,NASSAU ST,10038,2122273104,Italian,A
SATIN DOLLS,689,8TH AVE,10036,2127655047,American,A
QUEEN SHEEBA RESTAURANT,317,WEST 141 STREET,10030,2128626149,Middle Eastern,A
AU BON PAIN,6,UNION SQUARE EAST,10003,2124750453,Sandwiches/Salads/Mixed Buffet,A
HI LIFE BAR & GRILL,477,AMSTERDAM AVENUE,10024,2127877199,American,A
TOWNHOUSE DINER,696,2 AVENUE,10016,2125996254,American,A
Spring Hill Hotel,25,W 37TH ST,10018,2123912255,Continental,A
BUBBA GUMP SHRIMP CO.,1501,BROADWAY,10036,2123917100,American,A
FELIX,340,WEST BROADWAY,10013,2124310021,French,A
TAVERNA DI BACCO,175,LUDLOW STREET,10002,2124770077,Italian,A
MORRELL WINE BAR & CAFE,14,WEST   49 STREET,10020,2122627700,American,A
FAMOUS JOE'S PIZZA,7,CARMINE STREET,10014,2123661182,Pizza,A
FAMOUS & FRESH 99Â¢ PIZZA,91,AVENUE A,10009,2125051200,Pizza/Italian,A
IL FORNO PIZZERIA RESTAURANT,343,2ND AVE,10003,2123588300,Pizza,A
VIC'S,31,GREAT JONES ST,10012,2122535700,American,A
TOLOACHE MEXICAN BISTRO,251,WEST   50 STREET,10019,2125811818,Mexican,A
DO COOKIE DOUGH CONFECTIONS,550,LAGUARDIA PL,10012,6468923600,"Ice Cream, Gelato, Yogurt, Ices",A
CALIFORNIA PIZZA KITCHEN,440,PARK AVENUE SOUTH,10016,2126856700,Pizza/Italian,A
VICTOR'S CAFE,236,WEST   52 STREET,10019,2125867714,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
STARBUCKS,125,PARK AVENUE,10017,2125572718,CafÃ©/Coffee/Tea,A
TRI TIP GRILL,89,EAST   42 STREET,10017,2125571030,American,A
AMICI II,165,MULBERRY STREET,10013,2123343869,Italian,A
BLIMPIE,1928,3 AVENUE,10029,2129879756,Sandwiches,A
BLU CAFE BY TAVALON,120,RIVERSIDE BOULEVARD,10069,2125801200,American,A
THE SPOT AT CENTER COURT,475,RIVERSIDE DRIVE,10027,2128703043,American,A
PIADA,768,5TH AVE,10019,2127522727,Italian,A
LUCYS,135,AVENUE A,10009,2126733824,American,A
MCDONALD'S,151,WEST   34 STREET,10001,2125941964,Hamburgers,A
MACCHINA,2758,BROADWAY,10025,9173647809,Italian,A
LEX RESTAURANT,1370,LEXINGTON AVENUE,10128,2128605903,Italian,A
SERAFINA FABULOUS PIZZA,1022,MADISON AVENUE,10075,2127342676,Italian,A
BOMBAY'S,60,PEARL STREET,10004,2127422222,Indian,A
PRET A MANGER,1,ASTOR PL,10003,2123280015,Sandwiches/Salads/Mixed Buffet,A
DAKE SUSHI,348,7 AVENUE,10001,2122449100,Japanese,A
PIZZA 23,268,W 23RD ST,10011,2122060999,Pizza,A
TED'S MONTANA GRILL,110,WEST   51 STREET,10019,2122455220,American,A
ROWE STUDIOS LOUNGE,410,W 42ND ST,10036,2125825472,American,A
ABA SUSHI,1588,YORK AVE,10028,2125355798,Chinese/Japanese,A
HOTEL CARLYLE EMPLOYEE CAFETERIA,35,EAST   76 STREET,10021,2127441600,American,A
AROY DEE THAI KITCHEN,20,JOHN STREET,10038,2125289922,Thai,A
RUBY TUESDAY,7,TIMES SQUARE TOWER,10036,2123823898,American,A
COPPER KETTLE KITCHEN,1471,2ND AVE,10075,2127441100,American,A
DUNKIN' DONUTS,6,EAST   46 STREET,10017,2128674446,Donuts,A
THE BRASS TAP,4,SOUTH ST,10004,2123209542,American,A
NICOLA'S RESTAURANT,146,EAST   84 STREET,10028,2122499850,Italian,A
KAILASH PARBAT,99,LEXINGTON AVE,10016,3479723788,Indian,A
FANCY JUICE,69,1ST AVE,10003,2122281256,"Juice, Smoothies, Fruit Salads",A
PAX,966,6 AVENUE,10018,2129672820,American,A
PARKSIDE LOUNGE,317,EAST HOUSTON STREET,10002,2126736270,American,A
TURKISH KITCHEN,386,3 AVENUE,10016,2126796633,Turkish,A
THE UNIVERSITY CLUB,1,WEST   54 STREET,10019,2125723420,American,A
EATA PITA,109,EAST   42 STREET,10017,2122972500,Mediterranean,A
ASIAN GOURMET,1509,LEXINGTON AVENUE,10029,2128603399,Asian,A
ROUTE 66 AMERICAN BBQ,79,PEARL ST,10004,2129431602,American,A
HALE & HEARTY SOUP,466,LEXINGTON AVENUE,10017,6465801900,Soups & Sandwiches,A
FRANKLIN SQUARE CAFE @ HARPER COLLINS,195,BROADWAY,10007,2122076962,American,A
ALICES TEA CUP CHAPTER 2,156,EAST   64 STREET,10065,2124869200,American,A
SUBWAY,111,BROADWAY,10006,2122276323,Sandwiches/Salads/Mixed Buffet,A
COSI,55,BROAD STREET,10004,2123445000,Sandwiches/Salads/Mixed Buffet,A
CHOBANI SOHO,150,PRINCE STREET,10012,6073371246,American,A
EFFYS CAFE,104,W 96TH ST,10025,2122806200,Mediterranean,A
CHILLHOUSE,149,ESSEX ST,10002,6466783501,CafÃ©/Coffee/Tea,A
CHIPOTLE MEXICAN GRILL,235,WEST   56 STREET,10019,6466266520,Mexican,A
GROUND CENTRAL COFFEE COMPANY,155,EAST 52 STREET,10022,6469644438,CafÃ©/Coffee/Tea,A
STARBUCKS COFFEE #26188,1000,S 8 ave,10021,6466529813,CafÃ©/Coffee/Tea,A
LA CAVA,939,2 AVENUE,10022,2122231206,Italian,A
STARBUCKS,750,6 AVENUE,10010,6462307208,CafÃ©/Coffee/Tea,A
DON PANCHITO RESTAURANT,2102,AMSTERDAM AVENUE,10032,2127953290,Mexican,A
MAY WAH PORK CHOP FAST FOOD,190,HESTER ST,10013,2129256776,Chinese,A
The Spotted Dog,1154,1 AVENUE,10065,6466495331,American,A
SCORES,536,WEST 28 STREET,10001,2128684900,American,A
HOT KITCHEN,104,2 AVENUE,10003,2122283090,Chinese,A
SOHO GRAND HOTEL,310,WEST BROADWAY,10013,2129653000,American,A
EDGAR'S CAFE,650,AMSTERDAM AVE,10025,2125956261,CafÃ©/Coffee/Tea,A
IGGY'S,1452,2 AVENUE,10021,2123273043,American,A
RIVERWALK BAR & GRILL EXPRESS,425,MAIN STREET,10044,6468337050,American,A
"HYATT, NY CENTRAL, ROOM SERVICE",0,& GRAND CENTRAL,10017,6462136774,American,A
WESTSIDE RESTAURANT,2020,BROADWAY,10023,2127244000,American,A
GROUNDED,28,JANE STREET,10014,2126470943,CafÃ©/Coffee/Tea,A
10TH AVENUE COOKSHOP,156,10 AVENUE,10011,2129244440,American,A
MAXWELL'S,59,READE STREET,10007,9172616917,Irish,A
NEBULA BAR & KITCHEN,141,NAGLE AVE,10040,2122037167,Spanish,A
STITCH BAR,247,WEST   37 STREET,10018,2128524826,American,A
LIFFY II BAR,5009,BROADWAY,10034,2125447669,Irish,A
OMEN JAPANESE CUISINE,113,THOMPSON STREET,10012,2129258923,Japanese,A
INSOMNIA COOKIES,116,MACDOUGAL ST,10012,8776326654,Bakery,A
CATA,245,BOWERY ST,10002,2125052282,Spanish,A
BANGKOK CUISINE,1586,2ND AVE,10028,2129881112,Thai,A
HARU,433,AMSTERDAM AVENUE,10024,2125795655,Japanese,A
SCHNIPPERS,570,LEXINGTON AVE,10022,2128268100,American,A
CHARACTERS NYC BAR & GRILL,243,WEST   54 STREET,10019,2124598904,Irish,A
MEDITERRANEO,1260,2 AVENUE,10065,2127347407,Italian,A
FIELDS GOOD CHICKEN,101,MAIDEN LN,10038,6468956831,Chicken,A
PIG AND KHAO,68,CLINTON STREET,10002,2129204485,Thai,A
JIMBO'S,284,LENOX AVE,10027,2128286622,Hamburgers,A
BURGER KING,106,FULTON STREET,10038,2125665132,Hamburgers,A
PINGS,22,MOTT ST,10013,2126029988,Seafood,A
OSTERIA LAGUNA,209,EAST   42 STREET,10017,2125570001,Italian,A
CHOPPED PARSLEY,500,W 146TH ST,10031,9176756666,Japanese,A
ANTONUCCI,168-170,EAST 81 STREET,10028,2125705100,Italian,A
AWASH ETHIOPIAN RESTAURANT,338,EAST    6 STREET,10003,2129829589,Ethiopian,A
COMMUNITY FOOD AND JUICE,2893,BROADWAY,10025,2126652800,American,A
VATAN,409,3RD AVE,10016,2126895666,Indian,A
ANEJO TRIBECA,31,WALKER ST,10013,2129206270,Mexican,A
GENNARO RESTAURANT,665,AMSTERDAM AVENUE,10025,2126655348,Italian,A
MOMOFUKU MILK BAR,251,EAST   13 STREET,10003,3475779504,CafÃ©/Coffee/Tea,A
DYCKMAN BAR,221,DYCKMAN STREET,10034,6463603018,American,A
XANADU COFFEE,225,W 23RD ST,10011,6469187583,CafÃ©/Coffee/Tea,A
BARROW'S PUB,463,HUDSON STREET,10014,2127419349,Irish,A
PIZZA HUT,761,7 AVENUE,10019,2127678346,Pizza,A
FORMOSA CAFE,34,ELDRIDGE ST,10002,9176018688,Asian,A
MR. CHOW RESTAURANT,324,EAST   57 STREET,10022,2127519030,Chinese,A
LITTLE PIE COMPANY,424,WEST   43 STREET,10036,2127364780,Bakery,A
LUKE'S LOBSTER,1,WEST   59 STREET,10019,6465594644,Sandwiches,A
BALVANERA,152,STANTON ST,10002,2125333348,Spanish,A
FOXY JOHN'S,143,E 47TH ST,10017,6468385534,American,A
OSLO COFFEE ROASTERS,422,EAST   75 STREET,10021,3472552508,CafÃ©/Coffee/Tea,A
THE MILL,75,VARICK ST,10013,2123431200,Soups & Sandwiches,A
HILL COUNTRY CHICKEN,1123,BROADWAY,10010,2122576446,Chicken,A
CHIPOTLE MEXICAN GRILL,604,2 AVENUE,10016,9172897052,Mexican,A
STARBUCKS,2690,BROADWAY,10025,2125318204,CafÃ©/Coffee/Tea,A
VILLAGE EAST CINEMAS,181,2 AVENUE,10003,2125297098,American,A
ETCETERA ETCETERA,352,WEST   44 STREET,10036,2123994141,Italian,A
THE WEIR,1672,3RD AVE,10128,6468959581,American,A
MATRYOSHKA (SPA 88),88,FULTON STREET,10038,2127668600,Russian,A
STARBUCKS,322,WEST   57 STREET,10019,2123990714,CafÃ©/Coffee/Tea,A
Edge Funds Cafe,1540,BROADWAY,10036,2127302730,American,A
PIERRE LOTI CAFE WINE BAR,53,IRVING PLACE,10003,2127775684,Tapas,A
KARIZMA LOUNGE,244,E 51ST ST,10022,2126059988,Middle Eastern,A
JIMBO'S BURGER PALACE,535,LENOX AVENUE,10037,2124918680,American,A
DUNKIN DONUTS,309,W 57TH ST,10019,2123152616,Donuts,A
SOTTO 13,140,WEST   13 STREET,10011,2126471001,Italian,A
VITAE,4,E 46TH ST,10017,2126823562,American,A
DANNY'S DELI,224,WEST   47 STREET,10036,2129211200,Delicatessen,A
CHOP'T,60,EAST   56 STREET,10022,2127502467,Salads,A
PICCOLA CUCINA,184,PRINCE STREET,10012,2126253200,Italian,A
MIGHTY QUINN'S BARBEQUE,1407,BROADWAY,10018,6467191644,Barbecue,A
ZARO'S BREAD BASKET,501,7 AVENUE,10018,2125757031,Bakery,A
CRAVE FISH BAR,945,2 AVENUE,10022,6468959585,Seafood,A
URBAN VEGAN KITCHEN,4143,CARMINE STREET,10014,6464389939,Vegetarian,A
CAFFE BENE,9,EDWARD M MORGAN PL,10032,2122838886,American,A
PECULIAR PUB,145,BLEECKER STREET,10012,2123531327,American,A
WEATHER UP,159,DUANE STREET,10013,6463874594,American,A
EUROPAN CAFE,2197,BROADWAY,10024,2124966100,CafÃ©/Coffee/Tea,A
ROBERT,2,COLUMBUS CIRCLE,10019,2122997730,American,A
RAY'S PIZZA,829-831,7 AVENUE,10019,2129749381,Pizza,A
GOLDING CAFE (NEW YORK UNIVERSITY LAW SCHOOL - VANDERBILT HALL),40,WASHINGTON SQUARE SOUTH,10012,2129986517,American,A
NEW CHINATOWN RESTAURANT,11-13,AVENUE D,10009,2126712408,Chinese,A
BENGAL TIGER INDIAN FOOD,58,WEST 56TH STREET,10019,2122652703,Indian,A
STAFF CAFF,11,W 53RD ST,10019,2123331299,Soups & Sandwiches,A
WESTVILLE,173,AVENUE A,10009,2126772033,American,A
VILLAGE EAST CINEMAS,181,2 AVENUE,10003,2125297098,American,A
CITY SPICE CAFE,203,E 26TH ST,10010,9173628845,Indian,A
AMBER,103,W 70TH ST,10023,2127998122,Chinese/Japanese,A
JOE ALLEN RESTAURANT,326,WEST   46 STREET,10036,2125816464,American,A
CASCABEL TAQUERIA,2799,BROADWAY,10025,2126651500,Mexican,A
NEW GOLDEN CHOPSTICKS,77,PEARL ST,10004,2128250314,Chinese,A
CHA CHAN TANG,45,MOTT STREET,10013,2125772888,Chinese,A
JOEY PEPPERONI,381,BROADWAY,10013,2122135558,Pizza,A
ZUCKER'S BAGELS AND SMOKED FISH,146,CHAMBERS STREET,10007,2126085844,Bagels/Pretzels,A
VIC'S,31,GREAT JONES ST,10012,2122535700,American,A
NOUS ESPRESSO BAR,1150,AMSTERDAM AVE,10027,2128530192,CafÃ©/Coffee/Tea,A
LA PICCOLA CUCINA,964,AMSTERDAM AVE,10025,2128661336,Italian,A
WINGSTOP,63,W 125TH ST,10027,2129879464,Chicken,A
BEYOND SUSHI,75,9th AVE,10011,2129292889,Vegetarian,A
DJ PIZZA,120,E 34TH ST,10016,2129517075,Pizza,A
LE CIRQUE,151,EAST   58 STREET,10022,2126440202,French,A
STOP809,537,W 207TH ST,10034,6469187369,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
GREGORYS COFFEE,1407,BROADWAY,10018,6468959136,CafÃ©/Coffee/Tea,A
NEW NO. 1 CHINESE RESTAURANT,83,WEST 115 STREET,10026,2127223958,Chinese,A
DYCKMAN EXPRESS RESTAURANT,101,DYCKMAN STREET,10040,2125672288,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
SUBWAY,4227,BROADWAY,10033,2125685169,Sandwiches,A
LA CANTINA ECUA-MEX BAR & BILLIARD,3454,BROADWAY,10031,9179376515,Mexican,A
MOLYVOS,871,7 AVENUE,10019,2125827500,Greek,A
SILVER PALACE CHINESE FOOD,1430,ST NICHOLAS AVENUE,10033,2127408000,Chinese,A
STARBUCKS,630,LEXINGTON AVENUE,10022,2125218075,CafÃ©/Coffee/Tea,A
CAFE MARGOT PATISSERIE,2109,BROADWAY,10023,2127210076,Bakery,A
Lolo's Seafood Shack,303,W 116TH ST,10026,6465418940,Seafood,A
HARDWARE BAR,697,10 AVENUE,10036,2129249885,American,A
JUST SALAD,151,W 34TH ST,10001,6463551850,Salads,A
THE DAKOTA BAR,53,WEST   72 STREET,10023,2127870700,American,A
GLAZE TERIYAKI GRILL,638,LEXINGTON AVENUE,10022,2129353400,Asian,A
NANA SUSHI,511,3RD AVE,10016,9176601319,Asian,A
HARLEM BAR-B-Q/NABE HARLEM,2367,8 AVENUE,10027,2122221922,Barbecue,A
THE DISH RESTAURANT,201,8 AVENUE,10011,2123529800,American,A
JUNG SIK,6,HARRISON STREET,10013,2122190900,Korean,A
HIGH LINE HOTEL,180,10TH AVE,10011,6467360174,American,A
QUALITY MEATS,57,WEST   58 STREET,10019,2123717777,Steak,A
MI RANCHITO MEXICAN RESTAURANT,1468,ST NICHOLAS AVENUE,10033,2127402626,Mexican,A
LA ISLA CAFE RESTAURANT,212,DELANCEY STREET,10002,2125984752,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
OGAWA CAFE,36,E 4TH ST,10003,2125336527,Japanese,A
ONE MILE HOUSE,1012,DELANCY STREET,10002,6465590702,American,A
HELEN MILLS EVENT SPACE AND THEATER,135,WEST   26 STREET,10001,2122436200,American,A
BLIND PIG,233,EAST   14 STREET,10003,2122091573,American,A
BAEKJEONG,319,5TH AVE,10016,2129669839,Korean,A
SWERVE FITNESS,30,WEST 18TH STREET,10011,2122423330,"Juice, Smoothies, Fruit Salads",A
DUNKIN' DONUTS,687,AMSTERDAM AVENUE,10025,2128641046,Donuts,A
VEZZO,178,LEXINGTON AVENUE,10016,2128398300,Pizza/Italian,A
PARDON MY FRENCH,103,AVENUE B,10009,2123589683,French,A
PONGAL INDIAN CUISINE,110,LEXINGTON AVENUE,10016,2126969458,Indian,A
NEW YORK PIZZA SUPREMA,413,8 AVENUE,10001,2125948939,Pizza,A
VOYA CAFETERIA,230,PARK AVENUE,10169,2123098465,American,A
FLOR DE MAYO,484,AMSTERDAM AVENUE,10024,2127873388,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
SECCHU YOKOTA,199,EAST    3 STREET,10009,2127771124,Japanese,A
LUNG MOON BAKERY,83,MULBERRY STREET,10013,2123494945,Bakery,A
ROCKEFELLER U/ABBY BLDG,1252,YORK AVENUE,10065,2123278890,American,A
ISTANBUL GRILL,310,WEST   14 STREET,10014,2124638626,Turkish,A
LA CABANA SALVADORENA RESTAURANT,4384,BROADWAY,10040,2129287872,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
STARBUCKS,338,COLUMBUS AVENUE,10023,6465051106,CafÃ©/Coffee/Tea,A
BELLA BLU,967,LEXINGTON AVENUE,10021,2129884624,Italian,A
JUST SALAD,600,3 AVENUE,10016,2126823832,Salads,A
RUE 57,60,WEST   57 STREET,10019,2123075656,French,A
MCDONALD'S,208,DYCKMAN ST,10040,2125692909,American,A
HOUNDSTOOTH PUB,520,8 AVENUE,10018,2126430034,American,A
THE BEST PIZZA,748,9 AVENUE,10019,2129770400,Pizza,A
P.J. CLARKE'S ON THE HUDSON,4,WORLD FINANCIAL CENTER,10281,2122851500,American,A
HARLEM NIGHTS,2361,7TH AVE,10030,4136950608,American,A
COFFEE BREAK,929,AMSTERDAM AVE,10025,2125311130,Bakery,A
H.K WONTON GARDEN,79,MULBERRY STREET,10013,2123491495,Chinese,A
WENDY'S,2121,3RD AVE,10029,2129964020,Hamburgers,A
STARBUCKS,291,BROADWAY,10007,2124065312,CafÃ©/Coffee/Tea,A
PANCHO'S ANTOJITOS MEXICANOS,964,AMSTERDAM AVENUE,10025,2123165400,American,A
BY CHLOE,185,BLEECKER ST,10012,2122908000,Vegetarian,A
BON BON JUICE BAR & GRILL,334,AUDUBON AVENUE,10033,2129230207,"Juice, Smoothies, Fruit Salads",A
TOLOACHE,166,EAST   82 STREET,10028,2128614505,Mexican,A
ROSENS CAFE,2,BROADWAY,10004,2127859822,American,A
TOASTIES,148,WEST   49 STREET,10019,2123984900,American,A
LUCKY'S FAMOUS BURGERS,264,WEST   23 STREET,10011,2122424900,Hamburgers,A
TOM AND JERRY BAR,288,ELIZABETH STREET,10012,2122605045,American,A
BONMI VIETNAMESE,119,E 23RD ST,10010,9177428747,Vietnamese/Cambodian/Malaysia,A
STARBUCKS COFFEE,38,PARK ROW,10038,2125871103,CafÃ©/Coffee/Tea,A
COFFEE MANIA RESTAURANT,5,BRYANT PARK,10018,2122212510,American,A
FISH BAR,237,EAST    5 STREET,10003,6463190293,American,A
NASSAU BAR,118,NASSAU STREET,10038,2129620011,"Bottled beverages, including water, sodas, juices, etc.",A
MEDITERRANEO,1260,2 AVENUE,10065,2127347407,Italian,A
STARBUCKS,1841,BROADWAY,10023,2123070162,CafÃ©/Coffee/Tea,A
CAMPEON,9,EAST   16 STREET,10003,2126754700,Mexican,A
TARALLUCCI E VINO,163,1 AVENUE,10003,2123881190,Italian,A
IL SOLE,229233,DYCKMAN STREET,10034,2125440406,Italian,A
LA SIRENA,88,9TH AVE,10011,2129776096,Italian,A
TARALLUCCI E VINO,9,EAST 90TH STREET,10128,2128498483,Italian,A
BURGER ONE NYC,1150,LEXINGTON AVENUE,10075,2127370095,American,A
MCDONALD'S,490,8TH AVE,10001,9142774800,American,A
VAMOS,348,1 AVENUE,10010,2123587800,Mexican,A
MAHARAJA PALACE,2113,FREDERICK DOUGLASS BLVD,10026,2122228934,Indian,A
HAWKERS,225,E 14TH ST,10003,2129821688,Asian,A
NEW CHINATOWN RESTAURANT,11-13,AVENUE D,10009,2126712408,Chinese,A
LE PAIN QUOTIDIEN,708,3 AVENUE,10017,6467360949,French,A
PAX,225,WEST   42 STREET,10036,2128693535,American,A
AU BON PAIN,525,EAST   68 STREET,10065,2127467642,American,A
MARQUIS THEATER,1535,BROADWAY,10036,2123544624,American,A
CARAVAGGIO,23,EAST   74 STREET,10021,2122881004,Italian,A
SCORES,536,WEST 28 STREET,10001,2128684900,American,A
CALLE OCHO,45,WEST   81 STREET,10024,2128735025,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
FLANNERY'S BAR,205,WEST   14 STREET,10011,2122292122,American,A
"DUNKIN' DONUTS, BASKIN ROBBINS",476,2 AVENUE,10016,2126842173,Donuts,A
CIPRIANI 42ND STREET,110,EAST   42 STREET,10017,6467230822,Italian,A
MOTT CORNER,58,KENMARE STREET,10012,2124311192,American,A
STARBUCKS,100,WEST   33 STREET,10001,2126954260,CafÃ©/Coffee/Tea,A
THE TAP ROOM,1,WEST   54 STREET,10019,2125723420,American,A
EL POTE ESPANOL,718,2 AVENUE,10016,2128896680,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
HUDSON DINER,468,HUDSON STREET,10014,2126279191,American,A
FUSION GRILLS,875,3 AVENUE,10022,2123550666,Chinese,A
LE GIGOT,18,CORNELIA ST,10014,2126273737,French,A
WONDEE SIAM,792,9TH AVE,10019,2124599057,Thai,A
CANALETTO RISTORANTE,208,EAST   60 STREET,10022,2123179192,Italian,A
THE THIRD PALM TREE,2145,AMSTERDAM AVENUE,10032,2129239622,American,A
BINGO DELI,77,PEARL STREET,10004,2124879200,American,A
TIMES SQUARE CAFE,1535,BROADWAY,10036,2123981900,American,A
ANASSA TAVERNA,200,E 60TH STREET,10022,2123715200,American,A
IPPUDO,65,4TH AVE,10003,2123880088,Japanese,A
FILICORI,42,E 46TH ST,10017,4437144946,CafÃ©/Coffee/Tea,A
PARADISO NY,105,AVENUE B,10009,2127770234,Italian,A
POMODORO,518,9 AVENUE,10018,2122397019,Italian,A
CHINA STAR,145,1ST AVE,10003,2127773888,Chinese,A
AMERICAN WHISKEY,247,W 30TH ST,10001,2129671070,American,A
SESSION 73,1359,1 AVENUE,10021,2125174445,American,A
DUKE'S,1596 1598,2ND  AVENUE,10028,2127172020,American,A
SHAKE SHACK,2957,BROADWAY,10025,6463835507,Sandwiches,A
STAGECOACH TAVERN,834,7TH AVENUE,10019,2129759047,American,A
DAILY BAGEL,1111,1ST AVE,10065,2123714907,American,A
LITTLE PARK,85,W BROADWAY,10007,2122045570,American,A
BAKED,279,CHURCH ST,10013,2127750345,Bakery,A
RAFFLES,511,LEXINGTON AVENUE,10017,2122236785,American,A
MASAWA,1239,AMSTERDAM AVENUE,10027,2126630505,Ethiopian,A
SEASONED VEGAN,55,ST. NICHOLAS AVENUE,10026,2122220092,Vegetarian,A
MOLLY'S CUPCAKES,228,BLEECKER STREET,10014,2124142253,Bakery,A
PANCHITO'S,103,MACDOUGAL STREET,10012,2124735239,Mexican,A
TRATTORIA PESCHE PASTA,262,BLEECKER ST BSMT &1/FL,10014,2126452993,Italian,A
BARNES & NOBLE CAFE,33,EAST   17 STREET,10003,2122530810,CafÃ©/Coffee/Tea,A
LOMBARDI'S,32,SPRING STREET,10012,2129417994,Pizza/Italian,A
BOQUERIA,171,SPRING STREET,10012,2123434255,Spanish,A
OAXACA TAQUERIA,424,AMSTERDAM AVENUE,10024,2125804888,Mexican,A
EMPORIO,231,MOTT STREET,10012,2129661234,Italian,A
AMSTERDAM BURGER CO.,654,AMSTERDAM AVENUE,10025,2126320700,Jewish/Kosher,A
STAGE DOOR DELI,26,VESEY STREET,10007,2127915252,Delicatessen,A
VESELKA RESTAURANT,144,SECOND AVENUE,10003,2122289682,Polish,A
MCDONALD'S,262,CANAL STREET,10013,2129415823,Hamburgers,A
TOASTIES,23,EAST   51 STREET,10022,2123717676,American,A
ABURIYA KINNOSUKE,213,EAST   45 STREET,10017,2128675454,Japanese,A
JO JO,160,EAST   64 STREET,10065,2122335656,French,A
FIREHOUSE,522,COLUMBUS AVENUE,10024,2127873473,American,A
QUALITY ITALIAN STEAKHOUSE,57,WEST 57 STREET,10019,2123901111,Italian,A
CHERCHE MIDI,282,BOWERY,10012,2122263179,Pizza/Italian,A
BOCCA,135,WEST   50 STREET,10020,2125823000,American,A
SUNBURST ESPRESSO BAR,206,3 AVENUE,10003,2126741702,American,A
DUNKIN' DONUTS,3936,10 AVENUE,10034,2129424351,Donuts,A
99 CENTS FRESH SLICE PIZZA,105,STANTON ST,10002,2123350803,Pizza,A
5 NAPKIN,1325,2ND AVE,10021,2122490777,American,A
LOCAL & VINE,282,HUDSON ST,10013,2123373414,American,A
THE DOG HOUSE,160,W 25TH ST,10001,2123378301,American,A
PARK AVENUE TAVERN,99,PARK AVENUE,10016,2128674484,American,A
MANHATTAN DINER,2532,BROADWAY,10025,2129320068,American,A
